booking_id,origin_city,destination_city,cargo_type,delivery_status,priority,distance_km,freight_charge_inr,cargo_weight_kg,cargo_value_inr,is_delayed,is_express,is_long_haul
BK2166657,Mumbai,Nashik,Textiles,DELIVERED,NORMAL,167,4857,539,144444,0,0,0
BK9687004,Nagpur,Nashik,Electronics,IN_TRANSIT,NORMAL,668,21297,4148,331624,0,0,1
BK4477482,Kolhapur,Nashik,Fmcg Goods,DELAYED,NORMAL,674,16486,10603,11032,1,0,1
BK1668254,Nagpur,Mumbai,Perishables,DELAYED,NORMAL,834,17382,886,37117,1,0,1
BK9382447,Mumbai,Solapur,Textiles,BOOKED,NORMAL,455,11219,10703,64437,0,0,0
BK4728309,Mumbai,Pune,Perishables,DELAYED,NORMAL,148,4698,853,15390,1,0,0
BK8336793,Kolhapur,Pune,Chemicals,DELIVERED,NORMAL,228,6587,3570,23927,0,0,0
BK4901718,Nashik,Goa,Textiles,DELAYED,NORMAL,388,10655,10872,146086,1,0,0
BK2729252,Mumbai,Nagpur,Pharmaceuticals,DELIVERED,NORMAL,834,24957,136,93989,0,0,1
BK9946307,Mumbai,Solapur,Automobile Parts,DELIVERED,EXPRESS,455,16065,10744,59534,0,1,0
BK5905034,Goa,Aurangabad,Fmcg Goods,CANCELLED,NORMAL,673,16116,5302,35932,0,0,1
BK3747242,Pune,Solapur,Perishables,DELAYED,EXPRESS,248,12237,8354,5707,1,1,0
BK4839911,Pune,Kolhapur,Raw Materials,DELIVERED,NORMAL,228,4715,10185,29794,0,0,0
BK6924854,Mumbai,Pune,Textiles,DELAYED,EXPRESS,148,8185,11080,98895,1,1,0
BK7934168,Nashik,Aurangabad,Chemicals,BOOKED,NORMAL,183,3404,3561,70127,0,0,0
BK5391271,Pune,Solapur,Textiles,CANCELLED,EXPRESS,248,12293,7856,106095,0,1,0
BK9179078,Mumbai,Nagpur,Pharmaceuticals,DELAYED,NORMAL,834,17834,8913,696297,1,0,1
BK8276179,Kolhapur,Solapur,Perishables,DELAYED,NORMAL,469,9891,11623,39071,1,0,0
BK8000867,Solapur,Pune,Textiles,DELIVERED,NORMAL,248,6582,1138,28727,0,0,0
BK6657512,Nagpur,Solapur,Raw Materials,IN_TRANSIT,EXPRESS,494,15978,2875,78265,0,1,0
BK6254759,Aurangabad,Mumbai,Automobile Parts,DELAYED,NORMAL,335,6088,4433,126358,1,0,0
BK5106156,Nagpur,Solapur,Pharmaceuticals,DELIVERED,EXPRESS,494,20274,6773,512055,0,1,0
BK8520351,Mumbai,Aurangabad,Electronics,IN_TRANSIT,NORMAL,335,7717,11785,318125,0,0,0
BK2401694,Pune,Nagpur,Perishables,DELAYED,NORMAL,714,15850,7690,26649,1,0,1
BK4942995,Mumbai,Solapur,Textiles,DELAYED,NORMAL,455,12542,7454,65304,1,0,0
BK2547828,Kolhapur,Nashik,Perishables,DELAYED,NORMAL,723,13428,4927,49698,1,0,1
BK3996616,Nashik,Solapur,Machinery,DELIVERED,NORMAL,753,15549,9579,966993,0,0,1
BK3647408,Pune,Goa,Pharmaceuticals,DELIVERED,NORMAL,453,10590,8013,558024,0,0,0
BK5736156,Nagpur,Nashik,Fmcg Goods,IN_TRANSIT,NORMAL,668,14994,8053,62552,0,0,1
BK3983736,Solapur,Pune,Perishables,DELIVERED,NORMAL,248,5100,4017,74935,0,0,0
BK7723407,Nagpur,Goa,Automobile Parts,DELIVERED,NORMAL,277,7822,9469,106532,0,0,0
BK4604245,Kolhapur,Aurangabad,Perishables,DELIVERED,NORMAL,393,10029,6670,21309,0,0,0
BK4544859,Nashik,Kolhapur,Automobile Parts,IN_TRANSIT,NORMAL,641,12627,10020,108177,0,0,1
BK5943680,Pune,Nagpur,Fmcg Goods,DELAYED,NORMAL,714,14025,3645,92989,1,0,1
BK8301082,Goa,Nashik,Textiles,DELIVERED,NORMAL,470,13445,6380,115099,0,0,0
BK6536039,Pune,Kolhapur,Electronics,DELIVERED,NORMAL,228,4499,770,434458,0,0,0
BK5706243,Solapur,Nashik,Automobile Parts,BOOKED,NORMAL,422,10731,4771,278339,0,0,0
BK9971344,Kolhapur,Solapur,Raw Materials,BOOKED,EXPRESS,780,25711,3390,37491,0,1,1
BK1002671,Mumbai,Goa,Automobile Parts,DELAYED,NORMAL,594,11894,7749,88128,1,0,1
BK3334658,Nashik,Aurangabad,Textiles,BOOKED,NORMAL,183,4235,9652,81460,0,0,0
BK9390980,Nashik,Pune,Pharmaceuticals,DELIVERED,NORMAL,211,4982,7709,495922,0,0,0
BK6569593,Pune,Goa,Pharmaceuticals,DELIVERED,NORMAL,453,11735,754,740073,0,0,0
BK7740519,Nashik,Mumbai,Chemicals,DELAYED,EXPRESS,167,8149,11150,105483,1,1,0
BK8480767,Solapur,Pune,Automobile Parts,DELIVERED,EXPRESS,248,10657,6335,35861,0,1,0
BK1145125,Mumbai,Aurangabad,Perishables,IN_TRANSIT,NORMAL,335,8203,373,28510,0,0,0
BK1125792,Aurangabad,Solapur,Perishables,BOOKED,EXPRESS,294,12876,743,11952,0,1,0
BK3221946,Pune,Kolhapur,Perishables,IN_TRANSIT,NORMAL,228,4928,1345,52709,0,0,0
BK9993466,Goa,Mumbai,Automobile Parts,DELAYED,NORMAL,594,12148,9122,293462,1,0,1
BK9282749,Nashik,Aurangabad,Raw Materials,DELAYED,NORMAL,183,3781,6942,61294,1,0,0
BK1392532,Mumbai,Pune,Textiles,BOOKED,EXPRESS,148,8044,5185,55006,0,1,0
BK2779637,Nagpur,Goa,Automobile Parts,BOOKED,NORMAL,735,19198,4700,209111,0,0,1
BK8665173,Mumbai,Solapur,Machinery,DELIVERED,NORMAL,455,12232,8138,735076,0,0,0
BK5532170,Pune,Kolhapur,Perishables,CANCELLED,NORMAL,228,6068,1778,7924,0,0,0
BK7296466,Pune,Nagpur,Fmcg Goods,DELIVERED,EXPRESS,714,20937,7420,57753,0,1,1
BK9978484,Nashik,Nagpur,Perishables,DELAYED,NORMAL,668,19370,8491,68601,1,0,1
BK8547874,Nagpur,Nashik,Textiles,DELIVERED,NORMAL,668,17825,11467,17253,0,0,1
BK5986110,Kolhapur,Nashik,Automobile Parts,CANCELLED,NORMAL,767,17404,9044,231166,0,0,1
BK2479448,Mumbai,Pune,Electronics,DELAYED,NORMAL,148,4551,9597,362389,1,0,0
BK4639240,Nagpur,Pune,Automobile Parts,DELAYED,EXPRESS,714,20221,11044,197505,1,1,1
BK3849169,Kolhapur,Aurangabad,Raw Materials,BOOKED,NORMAL,393,11796,11956,26910,0,0,0
BK9797106,Mumbai,Solapur,Chemicals,DELAYED,NORMAL,455,12283,8875,183370,1,0,0
BK4447926,Aurangabad,Pune,Automobile Parts,CANCELLED,NORMAL,233,4194,583,92007,0,0,0
BK5822103,Pune,Kolhapur,Automobile Parts,BOOKED,NORMAL,228,4258,8555,205729,0,0,0
BK4379479,Pune,Solapur,Pharmaceuticals,DELIVERED,EXPRESS,248,10984,5753,406815,0,1,0
BK5783173,Aurangabad,Kolhapur,Fmcg Goods,CANCELLED,EXPRESS,393,12994,1834,74009,0,1,0
BK5610467,Nashik,Aurangabad,Electronics,DELIVERED,NORMAL,183,4329,8384,396693,0,0,0
BK6557171,Aurangabad,Solapur,Fmcg Goods,DELIVERED,NORMAL,348,8792,8977,14770,0,0,0
BK9538042,Pune,Solapur,Textiles,CANCELLED,EXPRESS,248,12150,4295,32138,0,1,0
BK2383008,Nashik,Nagpur,Pharmaceuticals,DELIVERED,NORMAL,668,21224,1804,427654,0,0,1
BK2350831,Mumbai,Kolhapur,Automobile Parts,BOOKED,NORMAL,373,7585,4920,95187,0,0,0
BK1998379,Mumbai,Solapur,Automobile Parts,DELAYED,NORMAL,455,10337,1105,67532,1,0,0
BK2389100,Kolhapur,Pune,Fmcg Goods,DELAYED,NORMAL,228,4194,7673,19354,1,0,0
BK6360192,Nagpur,Mumbai,Machinery,DELIVERED,NORMAL,834,23681,4603,849946,0,0,1
BK8742006,Pune,Solapur,Automobile Parts,CANCELLED,NORMAL,248,6129,3602,246587,0,0,0
BK1697266,Nagpur,Mumbai,Pharmaceuticals,DELIVERED,NORMAL,834,18633,2845,347449,0,0,1
BK3591314,Kolhapur,Aurangabad,Perishables,DELIVERED,NORMAL,393,12229,1008,54769,0,0,0
BK5426334,Kolhapur,Goa,Chemicals,BOOKED,NORMAL,433,9737,9270,183597,0,0,0
BK8635632,Mumbai,Goa,Electronics,DELAYED,NORMAL,594,18547,8984,386313,1,0,1
BK6305416,Aurangabad,Kolhapur,Raw Materials,DELIVERED,NORMAL,393,9718,9407,47577,0,0,0
BK8839342,Goa,Mumbai,Pharmaceuticals,DELIVERED,NORMAL,594,16482,490,205482,0,0,1
BK1999599,Nashik,Goa,Perishables,DELAYED,EXPRESS,718,20614,2237,67449,1,1,1
BK9749463,Nagpur,Aurangabad,Automobile Parts,DELIVERED,NORMAL,503,14978,10759,201090,0,0,1
BK7579916,Nagpur,Nashik,Perishables,DELAYED,NORMAL,668,20075,7024,52130,1,0,1
BK8256245,Nashik,Pune,Pharmaceuticals,DELIVERED,NORMAL,211,4906,1656,89899,0,0,0
BK4111526,Goa,Mumbai,Perishables,DELAYED,EXPRESS,594,18396,7970,48474,1,1,1
BK4744692,Mumbai,Nashik,Automobile Parts,IN_TRANSIT,NORMAL,167,5250,8072,204144,0,0,0
BK6868087,Goa,Kolhapur,Fmcg Goods,DELIVERED,NORMAL,785,16147,2313,12742,0,0,1
BK8965075,Solapur,Pune,Chemicals,BOOKED,NORMAL,248,5475,9249,44025,0,0,0
BK9651960,Kolhapur,Solapur,Textiles,IN_TRANSIT,NORMAL,289,7999,1632,137354,0,0,0
BK1039827,Mumbai,Kolhapur,Chemicals,DELAYED,NORMAL,373,11785,11695,169796,1,0,0
BK7429824,Nagpur,Nashik,Automobile Parts,BOOKED,NORMAL,668,18940,6577,149654,0,0,1
BK3796193,Mumbai,Solapur,Raw Materials,DELIVERED,NORMAL,455,8982,5505,16864,0,0,0
BK2326740,Solapur,Aurangabad,Fmcg Goods,DELIVERED,NORMAL,455,10310,4830,93841,0,0,0
BK1310468,Mumbai,Kolhapur,Electronics,CANCELLED,NORMAL,373,7053,9513,273329,0,0,0
BK6233966,Kolhapur,Nashik,Machinery,DELAYED,EXPRESS,585,17421,1315,596276,1,1,1
BK4236732,Nashik,Pune,Electronics,CANCELLED,EXPRESS,211,9402,3612,90341,0,1,0
BK6727865,Mumbai,Nagpur,Fmcg Goods,DELAYED,NORMAL,834,22142,8642,15832,1,0,1
BK3262482,Solapur,Aurangabad,Automobile Parts,BOOKED,NORMAL,512,12580,6061,120498,0,0,1
BK5450021,Pune,Solapur,Perishables,DELAYED,NORMAL,248,5351,7728,59786,1,0,0
BK1144846,Nashik,Solapur,Fmcg Goods,DELIVERED,NORMAL,588,15188,5014,62612,0,0,1
BK7359337,Mumbai,Aurangabad,Electronics,DELIVERED,NORMAL,335,6415,8426,427638,0,0,0
BK3203372,Goa,Nagpur,Perishables,DELAYED,NORMAL,652,19828,10862,27804,1,0,1
BK6150733,Pune,Mumbai,Chemicals,DELIVERED,NORMAL,148,4512,4413,130067,0,0,0
BK8697186,Mumbai,Kolhapur,Machinery,IN_TRANSIT,NORMAL,373,10849,3969,289092,0,0,0
BK1958103,Nagpur,Pune,Chemicals,DELAYED,NORMAL,714,20851,6874,25480,1,0,1
BK2940921,Nashik,Solapur,Textiles,BOOKED,NORMAL,502,9122,9604,104282,0,0,1
BK7092862,Solapur,Nagpur,Raw Materials,CANCELLED,EXPRESS,494,20504,4168,47576,0,1,0
BK1497769,Aurangabad,Kolhapur,Electronics,DELAYED,EXPRESS,393,12079,3765,307764,1,1,0
BK7741771,Goa,Mumbai,Automobile Parts,IN_TRANSIT,NORMAL,594,16491,8758,263802,0,0,1
BK4025015,Kolhapur,Nashik,Fmcg Goods,BOOKED,EXPRESS,470,14979,6558,37086,0,1,0
BK3077154,Mumbai,Nashik,Perishables,BOOKED,NORMAL,167,5249,11503,22435,0,0,0
BK2992261,Nagpur,Goa,Raw Materials,IN_TRANSIT,EXPRESS,353,13114,2018,51478,0,1,0
BK3260887,Kolhapur,Goa,Machinery,DELAYED,NORMAL,369,9017,7974,558119,1,0,0
BK3927575,Goa,Pune,Perishables,DELAYED,NORMAL,453,9980,5527,32141,1,0,0
BK3081699,Mumbai,Pune,Fmcg Goods,DELIVERED,NORMAL,148,3069,11610,54328,0,0,0
BK1113139,Nashik,Solapur,Automobile Parts,DELAYED,EXPRESS,146,9145,490,139645,1,1,0
BK4493283,Kolhapur,Nashik,Textiles,DELIVERED,NORMAL,173,5486,7809,104886,0,0,0
BK8200874,Nashik,Nagpur,Machinery,IN_TRANSIT,NORMAL,668,15779,396,666461,0,0,1
BK4321724,Mumbai,Nashik,Perishables,DELIVERED,EXPRESS,167,9334,2490,39615,0,1,0
BK6522264,Solapur,Mumbai,Automobile Parts,DELIVERED,NORMAL,455,10697,7434,79536,0,0,0
BK7765483,Aurangabad,Mumbai,Textiles,BOOKED,NORMAL,335,9746,1070,139022,0,0,0
BK3139987,Pune,Mumbai,Perishables,DELIVERED,NORMAL,148,3946,6526,22353,0,0,0
BK4797469,Mumbai,Goa,Perishables,DELAYED,NORMAL,594,17914,5733,78743,1,0,1
BK2329646,Aurangabad,Nagpur,Electronics,IN_TRANSIT,NORMAL,503,12374,988,449620,0,0,1
BK6643309,Nashik,Nagpur,Electronics,DELAYED,NORMAL,668,19425,1934,413547,1,0,1
BK9666919,Mumbai,Nashik,Electronics,DELIVERED,NORMAL,167,4429,8233,384592,0,0,0
BK3755514,Pune,Goa,Textiles,BOOKED,NORMAL,453,8825,639,56665,0,0,0
BK5917579,Nagpur,Nashik,Chemicals,DELIVERED,NORMAL,668,12363,4642,43374,0,0,1
BK4969823,Pune,Goa,Chemicals,DELIVERED,NORMAL,453,10540,6158,60402,0,0,0
BK7072682,Kolhapur,Nashik,Fmcg Goods,IN_TRANSIT,NORMAL,305,7070,850,45232,0,0,0
BK3129284,Kolhapur,Goa,Chemicals,IN_TRANSIT,NORMAL,628,19813,8795,185087,0,0,1
BK1204498,Nagpur,Solapur,Machinery,DELAYED,NORMAL,494,9156,11983,122137,1,0,0
BK7513169,Goa,Nashik,Automobile Parts,CANCELLED,NORMAL,301,8248,1973,280035,0,0,0
BK9476062,Pune,Nagpur,Automobile Parts,CANCELLED,NORMAL,714,22507,2827,62593,0,0,1
BK6901314,Pune,Kolhapur,Fmcg Goods,DELAYED,NORMAL,228,6457,1595,38843,1,0,0
BK3823773,Aurangabad,Mumbai,Automobile Parts,DELIVERED,NORMAL,335,10286,3184,216079,0,0,0
BK6008649,Pune,Goa,Electronics,DELAYED,EXPRESS,453,18408,8528,458370,1,1,0
BK1642416,Nashik,Pune,Fmcg Goods,DELIVERED,NORMAL,211,6194,6452,11568,0,0,0
BK5446729,Nashik,Aurangabad,Textiles,DELAYED,NORMAL,183,5227,3701,72232,1,0,0
BK6914529,Pune,Aurangabad,Fmcg Goods,DELIVERED,NORMAL,233,6135,1970,28411,0,0,0
BK2932202,Mumbai,Pune,Textiles,DELIVERED,NORMAL,148,3747,6289,42403,0,0,0
BK2270834,Solapur,Nashik,Perishables,IN_TRANSIT,NORMAL,343,7712,7165,69084,0,0,0
BK8184787,Mumbai,Goa,Fmcg Goods,DELIVERED,NORMAL,594,13302,7534,12574,0,0,1
BK5546226,Aurangabad,Solapur,Automobile Parts,DELAYED,NORMAL,666,13752,5538,276834,1,0,1
BK5184148,Aurangabad,Nagpur,Textiles,DELAYED,NORMAL,503,9263,6554,38257,1,0,1
BK5377594,Goa,Kolhapur,Fmcg Goods,DELAYED,NORMAL,207,4501,8282,57282,1,0,0
BK6846260,Mumbai,Pune,Textiles,DELIVERED,NORMAL,148,4490,8714,83120,0,0,0
BK7546428,Kolhapur,Nashik,Automobile Parts,DELAYED,NORMAL,556,16023,954,91464,1,0,1
BK6232107,Kolhapur,Mumbai,Perishables,DELAYED,NORMAL,373,7375,1073,46836,1,0,0
BK1592495,Mumbai,Nagpur,Electronics,DELIVERED,NORMAL,834,19080,7110,98010,0,0,1
BK7797064,Pune,Solapur,Raw Materials,DELIVERED,EXPRESS,248,10307,4758,32666,0,1,0
BK9322501,Nashik,Nagpur,Fmcg Goods,DELAYED,NORMAL,668,13551,2238,19532,1,0,1
BK6294937,Mumbai,Aurangabad,Fmcg Goods,BOOKED,NORMAL,335,8734,3722,98268,0,0,0
BK5893228,Aurangabad,Solapur,Perishables,DELAYED,NORMAL,548,10915,10410,36236,1,0,1
BK9018830,Nagpur,Nashik,Textiles,IN_TRANSIT,NORMAL,668,14061,2921,48894,0,0,1
BK1438575,Solapur,Kolhapur,Perishables,IN_TRANSIT,NORMAL,207,5993,7326,18755,0,0,0
BK4691046,Kolhapur,Aurangabad,Electronics,DELAYED,NORMAL,393,10437,9669,210284,1,0,0
BK5796574,Nashik,Solapur,Chemicals,DELAYED,NORMAL,597,18208,9455,84140,1,0,1
BK1309481,Nashik,Goa,Chemicals,DELAYED,NORMAL,389,9831,126,160364,1,0,0
BK2312026,Nashik,Nagpur,Automobile Parts,DELAYED,NORMAL,668,16086,2656,227578,1,0,1
BK8144524,Aurangabad,Goa,Chemicals,IN_TRANSIT,NORMAL,229,5321,7282,146415,0,0,0
BK1758979,Mumbai,Aurangabad,Textiles,DELIVERED,EXPRESS,335,13495,4157,18899,0,1,0
BK2784499,Nagpur,Pune,Fmcg Goods,DELIVERED,NORMAL,714,17973,830,22427,0,0,1
BK1589226,Kolhapur,Nagpur,Textiles,DELAYED,NORMAL,479,9382,4273,78014,1,0,0
BK3804598,Solapur,Kolhapur,Textiles,IN_TRANSIT,EXPRESS,788,22037,5911,85776,0,1,1
BK7127118,Mumbai,Nagpur,Perishables,DELAYED,NORMAL,834,23614,11972,65128,1,0,1
BK8530634,Mumbai,Aurangabad,Chemicals,CANCELLED,NORMAL,335,9746,8473,185469,0,0,0
BK9952801,Kolhapur,Solapur,Textiles,DELIVERED,NORMAL,622,16677,11246,57279,0,0,1
BK7798993,Pune,Nagpur,Textiles,DELAYED,NORMAL,714,22740,6218,107598,1,0,1
BK4225536,Goa,Nagpur,Fmcg Goods,DELAYED,NORMAL,358,10539,338,73671,1,0,0
BK3380990,Mumbai,Aurangabad,Pharmaceuticals,DELIVERED,EXPRESS,335,13369,6959,221460,0,1,0
BK8813810,Solapur,Kolhapur,Machinery,DELIVERED,NORMAL,373,7633,4471,706443,0,0,0
BK2786635,Pune,Mumbai,Perishables,DELIVERED,NORMAL,148,4213,11350,34788,0,0,0
BK6133747,Nashik,Pune,Perishables,DELAYED,NORMAL,211,6282,10056,19197,1,0,0
BK6215165,Solapur,Pune,Fmcg Goods,IN_TRANSIT,NORMAL,248,4748,4517,54487,0,0,0
BK5116416,Nashik,Mumbai,Fmcg Goods,IN_TRANSIT,NORMAL,167,4544,2901,62603,0,0,0
BK5274926,Nashik,Nagpur,Textiles,DELAYED,EXPRESS,668,24301,10069,62894,1,1,1
BK8252234,Nashik,Kolhapur,Raw Materials,IN_TRANSIT,NORMAL,787,14769,10702,43130,0,0,1
BK8542246,Nashik,Pune,Pharmaceuticals,DELIVERED,NORMAL,211,5956,8597,241842,0,0,0
BK5286034,Pune,Aurangabad,Fmcg Goods,DELAYED,NORMAL,233,4687,6066,67342,1,0,0
BK2121184,Pune,Solapur,Pharmaceuticals,DELIVERED,NORMAL,248,7750,9011,125447,0,0,0
BK9603599,Aurangabad,Nashik,Pharmaceuticals,DELIVERED,NORMAL,183,4884,11721,392416,0,0,0
BK9959376,Pune,Goa,Perishables,DELAYED,NORMAL,453,12401,3510,50542,1,0,0
BK6965396,Pune,Goa,Perishables,DELAYED,NORMAL,453,9434,10646,38389,1,0,0
BK9319783,Nagpur,Aurangabad,Automobile Parts,DELIVERED,NORMAL,503,12848,4756,188261,0,0,1
BK4798373,Mumbai,Nashik,Textiles,DELAYED,EXPRESS,167,9195,10839,100104,1,1,0
BK1309986,Mumbai,Pune,Electronics,DELIVERED,NORMAL,148,3669,6440,281014,0,0,0
BK6302854,Aurangabad,Solapur,Perishables,DELAYED,NORMAL,449,13338,4650,47494,1,0,0
BK4590138,Nagpur,Goa,Electronics,DELAYED,NORMAL,512,10400,10648,293019,1,0,1
BK5066579,Kolhapur,Mumbai,Fmcg Goods,BOOKED,NORMAL,373,11490,8324,74013,0,0,0
BK1708521,Pune,Aurangabad,Textiles,DELIVERED,NORMAL,233,5389,11484,24358,0,0,0
BK8512888,Pune,Kolhapur,Electronics,DELAYED,NORMAL,228,5694,2337,331798,1,0,0
BK9306183,Pune,Kolhapur,Perishables,DELAYED,NORMAL,228,5914,1788,53309,1,0,0
BK7224808,Mumbai,Nashik,Textiles,IN_TRANSIT,NORMAL,167,4497,1649,149843,0,0,0
BK8264821,Nashik,Kolhapur,Raw Materials,DELIVERED,NORMAL,123,3124,8360,72280,0,0,0
BK8954151,Pune,Nashik,Electronics,DELAYED,EXPRESS,211,10854,8120,145827,1,1,0
BK6767968,Nashik,Pune,Electronics,DELIVERED,NORMAL,211,5321,8998,157055,0,0,0
BK3522569,Nagpur,Goa,Fmcg Goods,DELIVERED,NORMAL,110,2693,3335,81461,0,0,0
BK3233875,Solapur,Nashik,Pharmaceuticals,DELIVERED,NORMAL,598,12106,1597,784516,0,0,1
BK6221671,Pune,Kolhapur,Fmcg Goods,DELAYED,NORMAL,228,4573,11728,93323,1,0,0
BK4498277,Mumbai,Kolhapur,Automobile Parts,IN_TRANSIT,NORMAL,373,6927,3429,60499,0,0,0
BK4747943,Pune,Mumbai,Fmcg Goods,DELIVERED,NORMAL,148,4200,466,97849,0,0,0
BK8327816,Kolhapur,Mumbai,Raw Materials,DELAYED,NORMAL,373,8646,5306,34826,1,0,0
BK7083846,Pune,Aurangabad,Fmcg Goods,BOOKED,NORMAL,233,7340,4262,97029,0,0,0
BK6764655,Pune,Nashik,Raw Materials,DELIVERED,NORMAL,211,4033,3998,47280,0,0,0
BK4645891,Kolhapur,Pune,Pharmaceuticals,DELIVERED,NORMAL,228,5789,3596,167940,0,0,0
BK4444768,Nagpur,Pune,Electronics,DELIVERED,NORMAL,714,14654,8499,139975,0,0,1
BK9155182,Aurangabad,Goa,Perishables,DELAYED,NORMAL,614,19050,2516,49791,1,0,1
BK6977768,Mumbai,Kolhapur,Raw Materials,DELIVERED,NORMAL,373,11533,11081,60867,0,0,0
BK8674784,Nagpur,Mumbai,Chemicals,DELIVERED,NORMAL,834,15727,3214,55250,0,0,1
BK9652249,Kolhapur,Nashik,Textiles,DELAYED,NORMAL,747,15317,11095,121428,1,0,1
BK5809961,Goa,Nagpur,Perishables,DELAYED,EXPRESS,685,26012,9433,62501,1,1,1
BK7439709,Nashik,Mumbai,Automobile Parts,DELIVERED,NORMAL,167,4754,1322,249583,0,0,0
BK1240088,Mumbai,Kolhapur,Textiles,BOOKED,NORMAL,373,10438,3627,120246,0,0,0
BK9574110,Solapur,Goa,Fmcg Goods,DELIVERED,NORMAL,175,3607,6555,94263,0,0,0
BK2917023,Nagpur,Mumbai,Fmcg Goods,DELAYED,EXPRESS,834,27964,8071,25612,1,1,1
BK6852841,Nashik,Kolhapur,Raw Materials,DELAYED,NORMAL,372,7317,8116,71274,1,0,0
BK7065498,Aurangabad,Mumbai,Electronics,CANCELLED,NORMAL,335,8676,804,189105,0,0,0
BK3024662,Mumbai,Pune,Textiles,IN_TRANSIT,NORMAL,148,2896,2147,40847,0,0,0
BK8536085,Nashik,Goa,Raw Materials,DELIVERED,EXPRESS,688,20140,1588,53233,0,1,1
BK2876514,Mumbai,Pune,Electronics,DELIVERED,NORMAL,148,3428,1667,279980,0,0,0
BK1267661,Mumbai,Kolhapur,Raw Materials,BOOKED,NORMAL,373,9819,5844,22557,0,0,0
BK9986668,Mumbai,Kolhapur,Electronics,DELIVERED,NORMAL,373,6769,6150,275553,0,0,0
BK5301903,Aurangabad,Nashik,Electronics,IN_TRANSIT,EXPRESS,183,9748,8635,67423,0,1,0
BK1873066,Pune,Aurangabad,Perishables,IN_TRANSIT,EXPRESS,233,10059,7778,67275,0,1,0
BK9886646,Kolhapur,Nagpur,Perishables,BOOKED,NORMAL,295,6879,9134,78208,0,0,0
BK8371168,Pune,Solapur,Machinery,BOOKED,EXPRESS,248,10175,4957,145774,0,1,0
BK3086955,Pune,Goa,Pharmaceuticals,DELIVERED,NORMAL,453,11956,4097,607889,0,0,0
BK9243219,Nashik,Mumbai,Textiles,BOOKED,NORMAL,167,3750,8671,103644,0,0,0
